MXene,Sc,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,C,N,F,H,O,OH,NULL,Li,Na,K,Mg,Voltage(V),Theoretical_capacity (mAh/g),Induced_Z_charge(mAh/g),In-plane lattice,In-plane lattice(intercalated)
Ta2C,,,,,,,,,1,1,,,,,,1,,,1,,-0.48,119,0.41,3.081,3.366
Hf2NH2,,,,,,,,1,,,1,,1,,,,,,1,,-0.79,119,0.407,3.179,3.375
Hf2N,,,,,,,,1,,,1,,,,,1,,,1,,-0.34,119,0.41,3.175,3.377
Hf2CH2,,,,,,,,1,,1,,,1,,,,,,1,,-0.8,119,0.413,3.252,3.403
Ta2NH2,,,,,,,,,1,,1,,1,,,,,,1,,-0.9,118,0.399,2.926,3.351
Ta2N,,,,,,,,,1,,1,,,,,1,,,1,,-0.41,118,0.412,3.098,3.407
Ta2CH2,,,,,,,,,1,1,,,1,,,,,,1,,-0.78,118,0.398,3.089,3.312
Hf2CO2,,,,,,,,1,,1,,,,1,,,,,1,,-0.31,112,0.395,3.27,3.302
Ta2CO2,,,,,,,,,1,1,,,,1,,,,,1,,-0.26,111,0.39,3.13,3.243
Hf2NOH,,,,,,,,1,,,1,,,,1,,,,1,,-0.9,111,0.42,3.257,3.399
Hf2NO2,,,,,,,,1,,,1,,,1,,,,,1,,-0.45,111,0.396,3.215,3.285
Hf2COH,,,,,,,,1,,1,,,,,1,,,,1,,-0.94,111,0.422,3.276,3.401
Ta2NOH,,,,,,,,,1,,1,,,,1,,,,1,,-0.8,110,0.423,2.92,3.443
Ta2NO2,,,,,,,,,1,,1,,,1,,,,,1,,-0.42,110,0.398,3.135,3.277
Ta2COH,,,,,,,,,1,1,,,,,1,,,,1,,-1.01,110,0.418,3.193,3.376
Hf2NF2,,,,,,,,1,,,1,1,,,,,,,1,,-0.95,110,0.424,3.251,3.449
Hf2CF2,,,,,,,,1,,1,,1,,,,,,,1,,-0.9,110,0.423,3.261,3.445
Ta2NF2,,,,,,,,,1,,1,1,,,,,,,1,,-0.39,109,0.41,2.861,3.51
Ta2CF2,,,,,,,,,1,1,,1,,,,,,,1,,-0.63,109,0.422,3.209,3.481
Sc2C,1,,,,,,,,,1,,,,,,1,,,,1,0.23,712,1.671,3.312,3.287
Sc2N,1,,,,,,,,,,1,,,,,1,,,,1,0.35,703,1.659,3.19,3.187
Sc2CH2,1,,,,,,,,,1,,,1,,,,,,,1,-0.33,703,1.674,3.28,3.273
Sc2NH2,1,,,,,,,,,,1,,1,,,,,,,1,-0.27,694,1.661,3.185,3.198
Ti2C,,1,,,,,,,,1,,,,,,1,,,,1,0.47,686,1.643,3.082,3.117
Ti2N,,1,,,,,,,,,1,,,,,1,,,,1,0.57,677,1.633,2.988,3.061
Ti2CH2,,1,,,,,,,,1,,,1,,,,,,,1,-0.1,677,1.647,3.037,3.088
Ti2NH2,,1,,,,,,,,,1,,1,,,,,,,1,-0.1,669,1.639,2.988,3.032
V2C,,,1,,,,,,,1,,,,,,1,,,,1,0.59,660,1.621,2.897,3.011
V2N,,,1,,,,,,,,1,,,,,1,,,,1,0.6,652,1.613,2.92,2.967
V2CH2,,,1,,,,,,,1,,,1,,,,,,,1,0.01,652,1.626,2.877,2.963
Cr2C,,,,1,,,,,,1,,,,,,1,,,,1,0.64,651,1.606,2.828,2.943
V2NH2,,,1,,,,,,,,1,,1,,,,,,,1,-0.04,644,1.621,2.756,2.931
Cr2N,,,,1,,,,,,,1,,,,,1,,,,1,0.62,643,1.614,2.675,2.954
Cr2CH2,,,,1,,,,,,1,,,1,,,,,,,1,0.01,643,1.619,2.872,2.91
Cr2NH2,,,,1,,,,,,,1,,1,,,,,,,1,-0.15,636,1.624,2.867,2.938
Sc2COH,1,,,,,,,,,1,,,,,1,,,,,1,-0.48,589,1.845,3.287,3.315
Sc2CO2,1,,,,,,,,,1,,,,1,,,,,,1,1.2,587,1.667,3.214,3.178
